Tasks_number,Proc_number,Time_work
10,1,1.36681
30,1,4.00758
50,1,5.60307
70,1,7.85271
90,1,9.46903
110,1,11.6672
130,1,14.7859
150,1,15.7134
170,1,21.4132
190,1,52.8767
210,1,80.8221
230,1,34.9363
250,1,33.2022
270,1,35.4835
290,1,46.2998
310,1,38.8524
330,1,54.4367
350,1,40.5685
370,1,40.1347
390,1,38.9059
410,1,44.5661
430,1,42.33
450,1,46.5839
470,1,58.1088
490,1,61.0222
10,2,0.903142
30,2,3.53021
50,2,7.35874
70,2,6.76335
90,2,8.71172
110,2,10.6048
130,2,13.036
150,2,14.7815
170,2,17.5821
190,2,18.6402
210,2,20.8035
230,2,23.666
250,2,27.8366
270,2,35.308
290,2,35.7495
310,2,33.2389
330,2,35.7664
350,2,37.8514
370,2,37.7963
390,2,34.3964
410,2,34.3878
430,2,36.9496
450,2,42.5979
470,2,40.5022
490,2,46.5512
10,3,0.881589
30,3,2.71038
50,3,4.69574
70,3,5.94912
90,3,6.98262
110,3,8.88494
130,3,11.473
150,3,13.1767
170,3,15.3284
190,3,16.1266
210,3,17.234
230,3,19.0822
250,3,20.9252
270,3,24.1311
290,3,26.7357
310,3,25.8298
330,3,27.3924
350,3,29.1259
370,3,30.5851
390,3,32.6971
410,3,34.8029
430,3,36.2895
450,3,38.7425
470,3,39.9531
490,3,42.7682
10,4,0.758959
30,4,2.33883
50,4,3.88199
70,4,5.59973
90,4,8.08433
110,4,9.31142
130,4,12.3463
150,4,12.9444
170,4,13.9748
190,4,15.6695
210,4,17.2277
230,4,19.1233
250,4,20.6001
270,4,22.4496
290,4,24.3688
310,4,25.9397
330,4,28.122
350,4,29.8689
370,4,31.753
390,4,33.873
410,4,35.6094
430,4,37.4136
450,4,38.574
470,4,39.928
490,4,45.7314
10,5,0.768442
30,5,2.42658
50,5,5.34065
70,5,6.8972
90,5,8.37305
110,5,9.44843
130,5,10.7331
150,5,12.2066
170,5,13.8672
190,5,16.0302
210,5,17.2012
230,5,18.841
250,5,20.5938
270,5,22.742
290,5,24.2931
310,5,26.1931
330,5,28.2085
350,5,29.5327
370,5,32.4826
390,5,32.9874
410,5,35.0596
430,5,36.7693
450,5,39.2574
470,5,42.5562
490,5,42.7355
10,6,0.769154
30,6,2.37839
50,6,4.02298
70,6,6.20021
90,6,7.16767
110,6,9.45132
130,6,11.3682
150,6,12.3324
170,6,14.1189
190,6,15.6248
210,6,17.7558
230,6,19.5997
250,6,21.4244
270,6,23.2526
290,6,25.0834
310,6,27.3498
330,6,27.8265
350,6,29.443
370,6,31.2475
390,6,33.2749
410,6,36.0112
430,6,37.1869
450,6,41.9419
470,6,41.855
490,6,42.7413
10,7,0.77718
30,7,2.34995
50,7,3.9784
70,7,5.70756
90,7,8.84988
110,7,13.5649
130,7,11.9821
150,7,12.4813
170,7,14.1124
190,7,16.5977
210,7,17.6088
230,7,19.1792
250,7,20.9549
270,7,22.7777
290,7,25.0183
310,7,26.4673
330,7,27.8458
350,7,29.5627
370,7,32.8117
390,7,34.7187
410,7,35.3367
430,7,44.3524
450,7,41.4227
470,7,41.2489
490,7,43.4367
10,8,0.793221
