Tasks_number,Proc_number,Time_work
10,1,1.69529
30,1,3.45085
50,1,5.20208
70,1,6.53415
90,1,7.57366
110,1,9.47569
130,1,10.336
150,1,10.932
170,1,11.731
190,1,12.8751
210,1,15.3572
230,1,17.5333
250,1,17.6943
270,1,18.6248
290,1,20.5153
310,1,21.235
330,1,28.8652
350,1,28.6004
370,1,30.4074
390,1,27.8965
410,1,28.6812
430,1,30.3505
450,1,30.7647
470,1,32.6932
490,1,34.4947
10,2,0.620676
30,2,1.85274
50,2,3.14859
70,2,4.46305
90,2,5.75199
110,2,7.16892
130,2,8.85424
150,2,11.2777
170,2,12.409
190,2,13.1289
210,2,14.499
230,2,15.6463
250,2,17.1609
270,2,18.3996
290,2,19.625
310,2,21.082
330,2,23.0189
350,2,24.6619
370,2,27.78
390,2,27.8961
410,2,29.5383
430,2,30.287
450,2,31.0655
470,2,33.4716
490,2,33.9159
10,3,0.626776
30,3,1.91325
50,3,3.17096
70,3,4.51548
90,3,5.80943
110,3,7.1709
130,3,8.54562
150,3,9.99493
170,3,11.4091
190,3,13.8683
210,3,14.5411
230,3,15.6193
250,3,17.0861
270,3,19.0097
290,3,20.6955
310,3,22.1058
330,3,22.3578
350,3,23.9509
370,3,25.7758
390,3,28.074
410,3,31.1073
430,3,31.351
450,3,32.0683
470,3,33.2916
490,3,34.1479
10,4,0.630712
30,4,1.87793
50,4,3.22762
70,4,4.53479
90,4,5.83594
110,4,7.38349
130,4,9.49382
150,4,10.0128
170,4,11.2924
190,4,12.8287
210,4,14.194
230,4,15.6884
250,4,16.9914
270,4,19.2568
290,4,19.9582
310,4,21.4558
330,4,22.7479
350,4,24.1601
370,4,26.1555
390,4,27.3758
410,4,28.8286
430,4,30.1439
450,4,33.731
470,4,34.9705
490,4,35.1209
10,5,0.640173
30,5,1.89878
50,5,3.21465
70,5,4.63493
90,5,6.03851
110,5,7.31567
130,5,8.73097
150,5,10.0567
170,5,11.4505
190,5,12.8284
210,5,14.3229
230,5,16.0668
250,5,17.9734
270,5,18.6896
290,5,19.9837
310,5,21.4091
330,5,22.8659
350,5,25.0879
370,5,25.7842
390,5,27.6284
410,5,30.8226
430,5,32.6716
450,5,31.6338
470,5,34.8848
490,5,36.9381
10,6,0.659461
30,6,1.96334
50,6,3.49438
70,6,4.72459
90,6,5.92399
110,6,7.36012
130,6,8.71065
150,6,10.5552
170,6,11.4579
190,6,14.4453
210,6,14.3279
230,6,15.9015
250,6,17.1975
270,6,19.0269
290,6,26.9368
310,6,24.9756
330,6,23.3759
350,6,24.3674
370,6,25.9664
390,6,28.2233
410,6,29.0639
430,6,30.4239
450,6,32.3205
470,6,33.1585
490,6,35.0299
10,7,0.644186
30,7,1.96348
50,7,3.94656
70,7,5.00999
90,7,7.00535
110,7,7.79713
130,7,9.15557
150,7,10.5928
170,7,11.9832
190,7,13.2205
210,7,14.4918
230,7,16.1425
250,7,17.4041
270,7,19.0823
290,7,20.3947
310,7,21.7463
330,7,22.9758
350,7,25.4361
370,7,26.1185
390,7,27.479
410,7,29.2071
